place_id,name,address,latitude,longitude,rating,user_ratings_total,business_status,types,brand
ChIJ5_jT36nSpw0REaA8wZWpzTA,Station Winxo,"H99Q+Q9F, Casablanca",33.56944000000001,-7.611571700000002,3.9,9.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Winxo
ChIJ-6c6KU_Tpw0RJ3y0l9GCiKY,Station Service Winxo,"187 Boulevard Abdelmoumen, Casablanca",33.5740948,-7.6261858,2.3,4.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Winxo
ChIJbavLZUQzpg0RjKsZsUcWy_Y,Petromin Station Bd Ouled Haddou,"H92Q+CHW, Boulevard Ouled Haddou, Casablanca",33.5511072,-7.611046399999999,3.3,20.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Petromin
ChIJtegZCqgypg0RKLqkdBgTIeg,Afriquia HERMITAGE,"L'hermitage, Boulevard Panoramique, Avenue Nador, Dar-el-Beida",33.5515553,-7.610422899999999,3.6,48.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Afriquia
ChIJhZM0IabSpw0RHn6R2lUAzMo,Shell Station Bd Alexandrie,"Sis 2, Boulevard Alexandrie, Angle Avenue 2 Mars, Dar-el-Beida",33.5734111,-7.615045800000001,3.9,77.0,OPERATIONAL,"gas_station, restaurant, point_of_interest, food, establishment",Shell
ChIJA_3XGabSpw0Re9288ExmV-0,Station Service Ziz,"H9FM+HPV, Avenue 2 Mars, Casablanca",33.5739976,-7.615717,3.7,35.0,OPERATIONAL,"gas_station, point_of_interest, establishment",ZIZ
ChIJlR57QK8ypg0RJKM-jNxxWKc,Petrom,"H93W+63W, Casablanca",33.5531008,-7.604783200000002,3.9,28.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Petrom
ChIJj3JEk6bSpw0Rx4r7NreL5xo,OLA Energy service station,Casablanca,33.5771133,-7.615549499999999,4.0,76.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Ola Energy
ChIJ30M1FFjNpw0RgXlyxqzWldY,TotalEnergies AL MADINA,"Boulevard Moulay Idriss I, Casablanca",33.5748492,-7.610206499999999,4.0,51.0,OPERATIONAL,"gas_station, point_of_interest, establishment",TotalEnergies
ChIJgRWtR8wzpg0Rf3Jw_o62QYc,Afriquia MARJANE DERB SULTAN,"Bd Abou Chouaib Doukkali, Route Mediouna, Dar-el-Beida",33.562709,-7.593368999999999,1.0,1.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Afriquia
ChIJKQXzgH3Npw0RkjrIt60Bwjk,Station Winxo,"Souk Laayoun, Casablanca",33.56478330000001,-7.595520399999999,5.0,1.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Winxo
ChIJf3qQlbcypg0R4meUb3b5QPI,Total,"1053 Boulevard Mohammed VI, Casablanca",33.5539532,-7.5912571,3.3,12.0,OPERATIONAL,"gas_station, point_of_interest, establishment",TotalEnergies
ChIJKfnKPgAzpg0RrfAAX79CL4M,SOMAP سوماپ,"1053 Boulevard Mohammed VI, Casablanca",33.5539239,-7.591272399999999,3.7,3.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Somap
ChIJ0yJkmLcypg0R8nCZxENPBiw,Station Winxo Ain Choq,"HC35+H68, Casablanca",33.553922,-7.5919122,3.5,87.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Winxo
ChIJwXsQjzTNpw0Rk-hp8hUUMrY,TotalEnergies EL FARAH,"Boulevard de la Grande Ceinture, Casablanca",33.5664034,-7.5849457,3.6,77.0,OPERATIONAL,"gas_station, point_of_interest, establishment",TotalEnergies
ChIJ2W_hEEzNpw0RLQphpM0uMV0,Station Shell Oulad Hriz,"Boulevard Mohammed VI, Route Mediouna, Casablanca",33.56817499999999,-7.596220999999998,4.1,27.0,OPERATIONAL,"gas_station, point_of_interest, store, establishment",Shell
ChIJOfpxGUzNpw0R0wvpcDc1yJ0,TotalEnergies MOUSTAKBAL,"868 Boulevard Mohammed VI, Casablanca",33.5685203,-7.596264200000001,3.9,42.0,OPERATIONAL,"gas_station, car_repair, point_of_interest, establishment",TotalEnergies
ChIJnXakmTPNpw0RhQMidUQYxZ0,winxo ben msik,"HC98+2P7, Casablanca",33.5675377,-7.5831942,2.7,6.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Winxo
ChIJ9RxRpTPNpw0RzUJlKNYSQo0,Station Shell,"Boulevard de la Grande Ceinture, Omar Ibn Khattab, Dar-el-Beida",33.567662,-7.582275999999999,3.6,92.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Shell
ChIJywYSmzEzpg0Rq7cYOuu-DXE,Afriquia OTHMANIA,"Boulevard Abou Houraïra, Casablanca",33.559228,-7.576167000000001,3.8,70.0,OPERATIONAL,"gas_station, point_of_interest, establishment",Afriquia
ChIJNR9eanE9pg0RdQCPbbkZ7Ug,Total Petrol Station Relais Chaouia,"vers Marrakech, Autoroute Casablanca-Agadir PK 35, Casablanca, Berrechid",33.5730992,-7.589834000000001,3.7,248.0,OPERATIONAL,"gas_station, point_of_interest, establishment",TotalEnergies
